Borough,number_of_incidents,number_of_severe_incidents,percent_severe
Westminster,4253,931,21.89
Lambeth,4189,792,18.91
Southwark,3871,788,20.36
Croydon,3642,703,19.3
Lewisham,3110,570,18.33
Greenwich,2884,538,18.65
Haringey,2852,453,15.88
Barnet,2835,546,19.26
Ealing,2780,622,22.37
Hounslow,2649,477,18.01
Brent,2519,524,20.8
Camden,2481,476,19.19
Newham,2462,412,16.73
Wandsworth,2419,406,16.78
Hackney,2417,435,18.0
Havering,2384,332,13.93
Bromley,2227,435,19.53
Islington,2224,397,17.85
Enfield,2152,382,17.75
Waltham Forest,1982,325,16.4
Hillingdon,1761,342,19.42
Barking & Dagenham,1643,263,16.01
Redbridge,1506,263,17.46
Tower Hamlets,1437,270,18.79
Bexley,1310,243,18.55
Hammersmith & Fulham,1277,243,19.03
Merton,1225,223,18.2
Kensington & Chelsea,1110,198,17.84
Harrow,1084,269,24.82
Sutton,1051,174,16.56
Richmond Upon Thames,981,174,17.74
Kingston Upon Thames,913,167,18.29
City Of London,881,158,17.93
