Borough,number_of_incidents,number_of_severe_incidents,longitude,latitude
Westminster,4253,916,-0.161087673,30.51378932
Lambeth,4189,782,-0.118211164,22.45327427
Southwark,3871,780,-0.084562705,27.47311693
Croydon,3642,699,-0.08714974,8.47279281
Lewisham,3110,562,-0.020113188,22.44814353
Greenwich,2884,533,0.036228444,25.47279281
Haringey,2852,448,-0.107489086,39.5904085
Barnet,2835,537,-0.20995394,42.61604403
Ealing,2780,616,-0.311103318,30.52252369
Hounslow,2649,463,-0.347126387,24.46840119
Brent,2519,516,-0.267615105,36.55852881
Camden,2481,468,-0.16753842,35.54638273
Newham,2462,404,0.006251622,33.52833596
Wandsworth,2419,401,-0.186568805,22.45127296
Hackney,2417,431,-0.073392167,35.55224629
Havering,2384,329,0.151167602,38.56436983
Bromley,2227,429,0.021581072,10.37200568
Islington,2224,394,-0.110522698,34.54864424
Enfield,2152,374,-0.087357679,45.6510689
Waltham Forest,1982,318,-0.032739664,39.59412072
Hillingdon,1761,336,-0.41582914,32.54153292
Barking & Dagenham,1643,258,0.073786037,35.54544732
Redbridge,1506,261,0.045695705,40.58549606
Tower Hamlets,1437,263,-0.055755196,32.51712534
Bexley,1310,240,0.100448253,23.45902933
Hammersmith & Fulham,1277,240,-0.221423779,26.49608552
Merton,1225,217,-0.17734246,16.40994531
Kensington & Chelsea,1110,197,-0.172878281,26.501641
Harrow,1084,264,-0.32121755,39.59762886
Sutton,1051,174,-0.177442606,10.36209146
Richmond Upon Thames,981,173,-0.283109722,21.44213678
Kingston Upon Thames,913,165,-0.266839936,15.38778202
City Of London,881,156,-0.102131616,31.01495008
