Borough,number_of_incidents,number_of_severe_incidents,longitude,latitude
Westminster,4253,916,-0.1610876733266768,51.51378932051568
Lambeth,4189,782,-0.11821116373699996,51.4532742664486
Southwark,3871,780,-0.07456270533506261,51.47311693327191
Croydon,3642,699,-0.08714973957342535,51.355403354887706
Lewisham,3110,562,-0.020113187627699668,51.44814353404092
Greenwich,2884,533,0.056228444264492125,51.4727928111037
Haringey,2852,448,-0.10748908627388258,51.59040850298031
Barnet,2835,537,-0.20995394041385043,51.61604403434772
Ealing,2780,616,-0.3311033177942264,51.52252368860327
Hounslow,2649,463,-0.3671263870775228,51.46840118781318
Brent,2519,516,-0.2676151054442125,51.55852881098199
Camden,2481,468,-0.15753842018926015,51.54638273106085
Newham,2462,404,0.03625162202741566,51.52833596496316
Wandsworth,2419,401,-0.18656880463899014,51.4512729644053
Hackney,2417,431,-0.06339216686893585,51.55224629248154
Havering,2384,329,0.22116760190977086,51.56436983411225
Bromley,2227,429,0.05158107231454641,51.372005678000185
Islington,2224,394,-0.11052269795367728,51.54864424178629
Enfield,2152,374,-0.08735767868338563,51.65106890301398
Waltham Forest,1982,318,-0.012739664433250133,51.59412072375968
Hillingdon,1761,336,-0.4458291402420926,51.541532915342394
Barking & Dagenham,1643,258,,
Redbridge,1506,261,0.07569570522396069,51.58549606379628
Tower Hamlets,1437,263,-0.03575519614834932,51.517125339040525
Bexley,1310,240,0.1404482533815243,51.45902933450844
Hammersmith & Fulham,1277,240,,
Merton,1225,217,-0.19734245989476873,51.409945305872625
Kensington & Chelsea,1110,197,,
Harrow,1084,264,-0.34121754958998424,51.597628856541824
Sutton,1051,174,-0.17744260618664917,51.36209146195079
Richmond Upon Thames,981,173,,
Kingston Upon Thames,913,165,,
City Of London,881,156,,
