Route,Total Incidents,Slip Trip Fall,Collision,Assault,Male,Female,Youth (13 - 17),Adult (18-65),Child (0-12),Elderly (65+),Unknown Age,Bus Driver,Cyclist (Cycle Hire User),Cyclist (Private Cycle),Passenger / customer,Pedestrian
86,553,273,113,14,189,271,9,230,48,60,206,23,1,3,468,34
149,499,346,55,6,113,252,3,235,35,39,187,15,2,6,434,26
55,469,224,79,10,180,224,7,222,57,25,158,14,1,9,371,46
207,446,266,30,20,92,160,2,135,22,21,266,17,0,5,394,20
5,376,224,49,9,118,191,9,143,28,42,154,9,0,1,337,15
111,370,284,31,7,98,162,1,132,26,29,182,16,0,3,330,12
279,369,243,45,6,92,189,6,152,23,40,148,10,1,1,328,17
109,367,203,54,27,71,124,2,93,14,21,237,16,1,5,305,26
29,362,247,60,4,107,167,1,164,23,38,136,5,0,4,317,29
60,360,255,36,3,99,189,6,184,35,52,83,8,0,1,328,16
453,354,223,34,2,107,218,3,229,36,18,68,13,0,5,307,13
24,352,171,20,17,109,146,3,117,28,42,162,21,1,2,299,15
254,351,187,63,3,96,165,2,140,29,26,154,23,0,13,286,16
174,350,198,34,5,109,195,8,155,55,42,90,13,0,0,315,8
96,345,205,34,3,89,198,8,127,26,48,136,9,0,2,308,18
