Borough,number_of_incidents,number_of_severe_incidents,longitude,latitude
Westminster,4253,916,-0.171087673,16.51378932
Lambeth,4189,782,-0.118211164,13.51378932
Southwark,3871,780,-0.084562705,13.51378932
Croydon,3642,699,-0.11014974,4.01378932
Lewisham,3110,562,-0.020113188,13.51378932
Greenwich,2884,533,0.036228444,13.51378932
Haringey,2852,448,-0.157489086,13.51378932
Barnet,2835,537,-0.20995394,13.51378932
Ealing,2780,616,-0.311103318,13.51378932
Hounslow,2649,463,-0.347126387,13.51378932
Brent,2519,516,-0.267615105,13.51378932
Camden,2481,468,-0.16753842,13.51378932
Newham,2462,404,0.006251622,13.51378932
Wandsworth,2419,401,-0.206568805,13.51378932
Hackney,2417,431,-0.073392167,13.51378932
Havering,2384,329,0.111167602,13.31378932
Bromley,2227,429,0.021581072,13.51378932
Islington,2224,394,-0.110522698,13.51378932
Enfield,2152,374,-0.206357679,13.31378932
Waltham Forest,1982,318,-0.032739664,13.51378932
Hillingdon,1761,336,-0.41582914,13.51378932
Barking & Dagenham,1643,258,0.073786037,13.51378932
Redbridge,1506,261,0.045695705,13.51378932
Tower Hamlets,1437,263,-0.055755196,13.51378932
Bexley,1310,240,0.100448253,13.51378932
Hammersmith & Fulham,1277,240,-0.221423779,13.51378932
Merton,1225,217,-0.17734246,13.51378932
Kensington & Chelsea,1110,197,-0.202878281,13.51378932
Harrow,1084,264,-0.32121755,13.51378932
Sutton,1051,174,-0.177442606,13.51378932
Richmond Upon Thames,981,173,-0.283109722,13.51378932
Kingston Upon Thames,913,165,-0.266839936,13.51378932
City Of London,881,156,-0.102131616,13.51378932
